fg_id,fg_name,role,fg_last,fg_first,bbm_id,bbm_last,bbm_first,yh_id,yh_last,yh_first,yh_team,yh_pos,howe_id,cbs_id,bam_id
6777,Tyler Pastornicky,bat,Pastornicky,Tyler,6272,Pastornicky,Tyler,9090,Pastornicky,Tyler,ATL,2B/SS,PASTORNIC19891213A,1740986,543629
6780,Tyler Sturdevant,pit,Sturdevant,Tyler,,,,10303,,,,RP,STURDEVAN19851220A,,573188
6781,Shairon Martis,pit,Martis,Shairon,3076,Martis,Shairon,8347,Martis,Shairon,,SP,,,463017
6785,Andrew Miller,pit,Miller,Andrew,3289,Miller,Andrew,7847,Miller,Andrew,BOS,RP,MILLER19850521A,1116708,453192
6788,Josh Satin,bat,Satin,Josh,7562,Satin,Josh,9044,Satin,Josh,,1B,SATIN19841223A,1807486,543744
6797,Julio Teheran,pit,Teheran,Julio,6228,Teheran,Julio,8846,Teheran,Julio,ATL,SP,TEHERAN19910127A,1718082,527054
6806,Josmil Pinto,bat,Pinto,Josmil,8263,Pinto,Josmil,9505,Pinto,Josmil,,C,PINTO19890331A,1961512,500887
6819,Robbie Ross Jr.,pit,Ross Jr.,Robbie,7667,Ross,Robbie,9139,Ross Jr.,Robbie,TEX,RP,ROSS19890624A,1935245,543726
6827,Justin Maxwell,bat,Maxwell,Justin,3126,Maxwell,Justin,8124,Maxwell,Justin,HOU,OF,MAXWELL19831106A,1208665,452239
6832,Sam Freeman,pit,Freeman,Sam,7716,Freeman,Samuel,9204,Freeman,Sam,STL,RP,FREEMAN19870624A,1915106,518693
6835,Nick Buss,bat,Buss,Nick,8127,Buss,Nick,9533,Buss,Nick,,OF,BUSS19861215A,1960787,502544
6848,Eduardo Nunez,bat,Nunez,Eduardo,5963,Nunez,Eduardo,8789,Nunez,Eduardo,NYY,3B/SS,NUNEZ19870615A,1098979,456488
6863,Freddy Sandoval,bat,Sandoval,Freddy,,,,,,,,,,,461866
6865,Jeff Manship,pit,Manship,Jeff,5833,Manship,Jeff,8559,Manship,Jeff,,RP,MANSHIP19850116A,1226050,453249
6867,Derek Norris,bat,Norris,Derek,6203,Norris,Derek,8876,Norris,Derek,OAK,C/1B,NORRIS19890214A,1669888,519083
